bampath,bamorder,sample_name,sample_metadata_id,revbayes_bampath,Date of collection,village,method,position,Coumpound ID,sample,species,conc (ng/ul),estimated total (ng),qPCR Plate,Well,Cluster,lat,long,month,year,treated
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A11_6_EKDN220028482-1A_H5J72DSX5_L2/A11_6_EKDN220028482-1A_H5J72DSX5_L2.srt.dp.bam,19,A11_6,A11_6,/move_bioinfo/anopheles_cnrfp/bam/A11_6_EKDN220028482-1A_H5J72DSX5_L2.srt.dp.bam,17/09/2014,SISRANKA,CDC,INT,114,171-8,gambiae,1.66,829.2,6,A11,29,10.40929,-4.61967,9,2014,0
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A11_7_EKDN220028550-1A_H3NGLDSX5_L2/A11_7_EKDN220028550-1A_H3NGLDSX5_L2.srt.dp.bam,20,A11_7,A11_7,/move_bioinfo/anopheles_cnrfp/bam/A11_7_EKDN220028550-1A_H3NGLDSX5_L2.srt.dp.bam,12/09/2014,DANDOUGOU,CDC,INT,46,41a-13,gambiae,4.8376,2418.8,7,A11,2,10.10211,-4.3382,9,2014,1
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A12_6_EKDN220028483-1A_H5J72DSX5_L2/A12_6_EKDN220028483-1A_H5J72DSX5_L2.srt.dp.bam,21,A12_6,A12_6,/move_bioinfo/anopheles_cnrfp/bam/A12_6_EKDN220028483-1A_H5J72DSX5_L2.srt.dp.bam,17/09/2014,SISRANKA,CDC,INT,114,171-16,gambiae,4.66,2331.8,6,A12,29,10.40929,-4.61967,9,2014,0
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A1_2_EKDN220028206-1A_H57WKDSX5_L2/A1_2_EKDN220028206-1A_H57WKDSX5_L2.srt.dp.bam,22,A1_2,A1_2,/move_bioinfo/anopheles_cnrfp/bam/A1_2_EKDN220028206-1A_H57WKDSX5_L2.srt.dp.bam,02/11/2015,KANKOUNABA II,CDC,INT,69,302-1,gambiae,1.34,669.6,2,A1,1,10.58465,-4.54745,11,2015,1
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A1_3_EKDN220028262-1A_H3NGLDSX5_L2/A1_3_EKDN220028262-1A_H3NGLDSX5_L2.srt.dp.bam,23,A1_3,A1_3,/move_bioinfo/anopheles_cnrfp/bam/A1_3_EKDN220028262-1A_H3NGLDSX5_L2.srt.dp.bam,02/09/2015,YABLE I,CDC,INT,309,106b-1,gambiae,1.2616,630.8,3,A1,4,10.31913,-4.38869,9,2015,1
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A1_4_EKDN220028333-1A_H3V53DSX5_L2/A1_4_EKDN220028333-1A_H3V53DSX5_L2.srt.dp.bam,24,A1_4,A1_4,/move_bioinfo/anopheles_cnrfp/bam/A1_4_EKDN220028333-1A_H3V53DSX5_L2.srt.dp.bam,04/09/2015,SOBARA III,CDC,INT,262,114-1,gambiae,1.0392,519.6,4,A1,3,10.25882,-4.41593,9,2015,1
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A1_6_EKDN220028481-1A_H5J72DSX5_L2/A1_6_EKDN220028481-1A_H5J72DSX5_L2.srt.dp.bam,25,A1_6,A1_6,/move_bioinfo/anopheles_cnrfp/bam/A1_6_EKDN220028481-1A_H5J72DSX5_L2.srt.dp.bam,03/09/2014,BAMAKO,CDC,INT,34,117-1,gambiae,3.92,1960.4,6,A1,20,10.49796,-4.46115,9,2014,0
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A1_7_EKDN220028548-1A_H3NGLDSX5_L2/A1_7_EKDN220028548-1A_H3NGLDSX5_L2.srt.dp.bam,26,A1_7,A1_7,/move_bioinfo/anopheles_cnrfp/bam/A1_7_EKDN220028548-1A_H3NGLDSX5_L2.srt.dp.bam,09/09/2014,BOUSSANRA I,CDC,INT,5,139a-1,gambiae,2.1152,1057.6,7,A1,26,10.50926,-4.57797,9,2014,0
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A1_8_EKDN220028611-1A_H5J72DSX5_L2/A1_8_EKDN220028611-1A_H5J72DSX5_L2.srt.dp.bam,27,A1_8,A1_8,/move_bioinfo/anopheles_cnrfp/bam/A1_8_EKDN220028611-1A_H5J72DSX5_L2.srt.dp.bam,17/09/2014,SISRANKA,CDC,INT,89,170-1,gambiae,4.5224,2261.2,8,A1,29,10.40929,-4.61967,9,2014,0
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A1_9_EKDN220028683-1A_H3VYYDSX5_L2/A1_9_EKDN220028683-1A_H3VYYDSX5_L2.srt.dp.bam,28,A1_9,A1_9,/move_bioinfo/anopheles_cnrfp/bam/A1_9_EKDN220028683-1A_H3VYYDSX5_L2.srt.dp.bam,05/11/2014,KANGOUNABA I,CDC,INT,31,1840-1,gambiae,4.1656,2082.8,9,A1,9,10.20378,-4.39405,11,2014,1
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A2_10_EKDN220028753-1A_H5JF5DSX5_L3/A2_10_EKDN220028753-1A_H5JF5DSX5_L3.srt.dp.bam,29,A2_10,A2_10,/move_bioinfo/anopheles_cnrfp/bam/A2_10_EKDN220028753-1A_H5JF5DSX5_L3.srt.dp.bam,10/09/2015,BOUNOUBA,CDC,INT,109,131-9,gambiae,6.0544,3027.2,10,A2,39,10.26145,-4.36408,9,2015,1
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A2_11_EKDN220028816-1A_H5J72DSX5_L1/A2_11_EKDN220028816-1A_H5J72DSX5_L1.srt.dp.bam,30,A2_11,A2_11,/move_bioinfo/anopheles_cnrfp/bam/A2_11_EKDN220028816-1A_H5J72DSX5_L1.srt.dp.bam,01/07/2015,BAMAKO,CDC,INT,59,444-2,gambiae,8.7132,4356.6,11,A2,20,10.49796,-4.46115,7,2015,1
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A2_12_EKDN220028871-1A_H5J72DSX5_L1/A2_12_EKDN220028871-1A_H5J72DSX5_L1.srt.dp.bam,31,A2_12,A2_12,/move_bioinfo/anopheles_cnrfp/bam/A2_12_EKDN220028871-1A_H5J72DSX5_L1.srt.dp.bam,09/07/2015,BOUNOUBA,CDC,INT,10,022-3,gambiae,5.192,2596,12,A2,39,10.26145,-4.36408,7,2015,0
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A2_13_EKDN220028925-1A_H5J72DSX5_L2/A2_13_EKDN220028925-1A_H5J72DSX5_L2.srt.dp.bam,32,A2_13,A2_13,/move_bioinfo/anopheles_cnrfp/bam/A2_13_EKDN220028925-1A_H5J72DSX5_L2.srt.dp.bam,14/07/2015,TIEFORA II,CDC,INT,834,026-9,gambiae,8.1564,4078.2,13,A2,11,10.66015,-4.51636,7,2015,1
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A2_14_EKDN220028979-1A_H5J72DSX5_L2/A2_14_EKDN220028979-1A_H5J72DSX5_L2.srt.dp.bam,33,A2_14,A2_14,/move_bioinfo/anopheles_cnrfp/bam/A2_14_EKDN220028979-1A_H5J72DSX5_L2.srt.dp.bam,10/09/2015,BOLOMAKOTE,CDC,INT,224,157-9,gambiae,4.0436,2021.8,14,A2,9,10.20378,-4.39405,9,2015,1
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A2_1_EKDN220028129-1A_H57WKDSX5_L2/A2_1_EKDN220028129-1A_H57WKDSX5_L2.srt.dp.bam,34,A2_1,A2_1,/move_bioinfo/anopheles_cnrfp/bam/A2_1_EKDN220028129-1A_H57WKDSX5_L2.srt.dp.bam,23/07/2014,SAKORA I,CDC,INT,70,237-5,gambiae,1.6,800,1,A2,29,10.40929,-4.61967,7,2014,0
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A2_2_EKDN220028209-1A_H57WKDSX5_L2/A2_2_EKDN220028209-1A_H57WKDSX5_L2.srt.dp.bam,35,A2_2,A2_2,/move_bioinfo/anopheles_cnrfp/bam/A2_2_EKDN220028209-1A_H57WKDSX5_L2.srt.dp.bam,02/11/2015,KANKOUNABA II,CDC,INT,69,302-9,gambiae,1.06,529.2,2,A2,1,10.58465,-4.54745,11,2015,1
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A2_3_EKDN220028265-1A_H3NGLDSX5_L2/A2_3_EKDN220028265-1A_H3NGLDSX5_L2.srt.dp.bam,36,A2_3,A2_3,/move_bioinfo/anopheles_cnrfp/bam/A2_3_EKDN220028265-1A_H3NGLDSX5_L2.srt.dp.bam,02/09/2015,YABLE I,CDC,INT,309,106b-9,gambiae,2.492,1246,3,A2,4,10.31913,-4.38869,9,2015,1
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A2_4_EKDN220028336-1A_H3V53DSX5_L2/A2_4_EKDN220028336-1A_H3V53DSX5_L2.srt.dp.bam,37,A2_4,A2_4,/move_bioinfo/anopheles_cnrfp/bam/A2_4_EKDN220028336-1A_H3V53DSX5_L2.srt.dp.bam,04/09/2015,SOBARA III,CDC,INT,262,114-9,gambiae,0.8848,442.4,4,A2,3,10.25882,-4.41593,9,2015,1
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A2_5_EKDN220028407-1A_H5J72DSX5_L1/A2_5_EKDN220028407-1A_H5J72DSX5_L1.srt.dp.bam,38,A2_5,A2_5,/move_bioinfo/anopheles_cnrfp/bam/A2_5_EKDN220028407-1A_H5J72DSX5_L1.srt.dp.bam,01/09/2014,KANGOUNABA II,CDC,INT,85,104a-9,gambiae,1.6848,842.4,5,A2,1,10.58465,-4.54745,9,2014,1
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A2_7_EKDN220028551-1A_H3NGLDSX5_L2/A2_7_EKDN220028551-1A_H3NGLDSX5_L2.srt.dp.bam,39,A2_7,A2_7,/move_bioinfo/anopheles_cnrfp/bam/A2_7_EKDN220028551-1A_H3NGLDSX5_L2.srt.dp.bam,09/09/2014,BOUSSANRA I,CDC,INT,5,139a-9,gambiae,3.4056,1702.8,7,A2,26,10.50926,-4.57797,9,2014,0
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A2_8_EKDN220028613-1A_H5J72DSX5_L2/A2_8_EKDN220028613-1A_H5J72DSX5_L2.srt.dp.bam,40,A2_8,A2_8,/move_bioinfo/anopheles_cnrfp/bam/A2_8_EKDN220028613-1A_H5J72DSX5_L2.srt.dp.bam,17/09/2014,SISRANKA,CDC,INT,89,170-9,gambiae,4.1368,2068.4,8,A2,29,10.40929,-4.61967,9,2014,0
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A2_9_EKDN220028685-1A_H3VYYDSX5_L2/A2_9_EKDN220028685-1A_H3VYYDSX5_L2.srt.dp.bam,41,A2_9,A2_9,/move_bioinfo/anopheles_cnrfp/bam/A2_9_EKDN220028685-1A_H3VYYDSX5_L2.srt.dp.bam,05/11/2014,KANGOUNABA I,CDC,INT,31,1840-9,gambiae,2.7772,1388.6,9,A2,9,10.20378,-4.39405,11,2014,1
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A3_10_EKDN220028754-1A_H5JF5DSX5_L3/A3_10_EKDN220028754-1A_H5JF5DSX5_L3.srt.dp.bam,42,A3_10,A3_10,/move_bioinfo/anopheles_cnrfp/bam/A3_10_EKDN220028754-1A_H5JF5DSX5_L3.srt.dp.bam,10/09/2015,BOUNOUBA,CDC,INT,109,131-17,gambiae,2.7556,1377.8,10,A3,39,10.26145,-4.36408,9,2015,1
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A3_12_EKDN220028872-1A_H5JF5DSX5_L3/A3_12_EKDN220028872-1A_H5JF5DSX5_L3.srt.dp.bam,43,A3_12,A3_12,/move_bioinfo/anopheles_cnrfp/bam/A3_12_EKDN220028872-1A_H5JF5DSX5_L3.srt.dp.bam,09/07/2015,BOUNOUBA,CDC,INT,3,582-1,gambiae,3.4584,1729.2,12,A3,39,10.26145,-4.36408,7,2015,0
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A3_14_EKDN220028980-1A_H5J72DSX5_L2/A3_14_EKDN220028980-1A_H5J72DSX5_L2.srt.dp.bam,44,A3_14,A3_14,/move_bioinfo/anopheles_cnrfp/bam/A3_14_EKDN220028980-1A_H5J72DSX5_L2.srt.dp.bam,10/09/2015,BOLOMAKOTE,CDC,INT,224,157-17,gambiae,5.1076,2553.8,14,A3,9,10.20378,-4.39405,9,2015,1
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A3_1_EKDN220028130-1A_H57YWDSX5_L3/A3_1_EKDN220028130-1A_H57YWDSX5_L3.srt.dp.bam,45,A3_1,A3_1,/move_bioinfo/anopheles_cnrfp/bam/A3_1_EKDN220028130-1A_H57YWDSX5_L3.srt.dp.bam,23/07/2014,SISRANKA,CDC,INT,89,241-2,gambiae,1.09,545.2,1,A3,29,10.40929,-4.61967,7,2014,0
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A3_3_EKDN220028266-1A_H3NGLDSX5_L2/A3_3_EKDN220028266-1A_H3NGLDSX5_L2.srt.dp.bam,46,A3_3,A3_3,/move_bioinfo/anopheles_cnrfp/bam/A3_3_EKDN220028266-1A_H3NGLDSX5_L2.srt.dp.bam,02/09/2015,BAMAKO,CDC,INT,70,107b-5,gambiae,5.8856,2942.8,3,A3,20,10.49796,-4.46115,9,2015,1
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A3_4_EKDN220028337-1A_H3V53DSX5_L2/A3_4_EKDN220028337-1A_H3V53DSX5_L2.srt.dp.bam,47,A3_4,A3_4,/move_bioinfo/anopheles_cnrfp/bam/A3_4_EKDN220028337-1A_H3V53DSX5_L2.srt.dp.bam,04/09/2015,SOBARA III,CDC,INT,262,114-17,gambiae,1.8424,921.2,4,A3,3,10.25882,-4.41593,9,2015,1
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A3_5_EKDN220028408-1A_H5J72DSX5_L1/A3_5_EKDN220028408-1A_H5J72DSX5_L1.srt.dp.bam,48,A3_5,A3_5,/move_bioinfo/anopheles_cnrfp/bam/A3_5_EKDN220028408-1A_H5J72DSX5_L1.srt.dp.bam,01/09/2014,KANGOUNABA II,CDC,INT,31,105-4,gambiae,3.2388,1619.4,5,A3,1,10.58465,-4.54745,9,2014,1
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A3_6_EKDN220028484-1A_H5J72DSX5_L2/A3_6_EKDN220028484-1A_H5J72DSX5_L2.srt.dp.bam,49,A3_6,A3_6,/move_bioinfo/anopheles_cnrfp/bam/A3_6_EKDN220028484-1A_H5J72DSX5_L2.srt.dp.bam,07/09/2014,SOBARA II,CDC,INT,291,123a-6,gambiae,1.53,764.8,6,A3,3,10.25882,-4.41593,9,2014,1
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A3_7_EKDN220028552-1A_H3NGLDSX5_L2/A3_7_EKDN220028552-1A_H3NGLDSX5_L2.srt.dp.bam,50,A3_7,A3_7,/move_bioinfo/anopheles_cnrfp/bam/A3_7_EKDN220028552-1A_H3NGLDSX5_L2.srt.dp.bam,09/09/2014,BOUSSANRA I,CDC,INT,5,139a-17,gambiae,4.3776,2188.8,7,A3,26,10.50926,-4.57797,9,2014,0
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A3_8_EKDN220028614-1A_H5J72DSX5_L2/A3_8_EKDN220028614-1A_H5J72DSX5_L2.srt.dp.bam,51,A3_8,A3_8,/move_bioinfo/anopheles_cnrfp/bam/A3_8_EKDN220028614-1A_H5J72DSX5_L2.srt.dp.bam,19/09/2014,BOLOMAKOTE,CDC,INT,214,195-8,gambiae,2.4616,1230.8,8,A3,9,10.20378,-4.39405,9,2014,1
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A3_9_EKDN220028686-1A_H3V53DSX5_L2/A3_9_EKDN220028686-1A_H3V53DSX5_L2.srt.dp.bam,52,A3_9,A3_9,/move_bioinfo/anopheles_cnrfp/bam/A3_9_EKDN220028686-1A_H3V53DSX5_L2.srt.dp.bam,05/11/2014,NATIERA,CDC,INT,68,357-8,gambiae,4.7116,2355.8,9,A3,10,10.69726,-4.44495,11,2014,1
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A4_10_EKDN220028755-1A_H5JF5DSX5_L3/A4_10_EKDN220028755-1A_H5JF5DSX5_L3.srt.dp.bam,53,A4_10,A4_10,/move_bioinfo/anopheles_cnrfp/bam/A4_10_EKDN220028755-1A_H5JF5DSX5_L3.srt.dp.bam,11/09/2015,DANDOUGOU,CDC,INT,38,88-2,gambiae,2.3764,1188.2,10,A4,2,10.10211,-4.3382,9,2015,1
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A4_11_EKDN220028817-1A_H5J72DSX5_L1/A4_11_EKDN220028817-1A_H5J72DSX5_L1.srt.dp.bam,54,A4_11,A4_11,/move_bioinfo/anopheles_cnrfp/bam/A4_11_EKDN220028817-1A_H5J72DSX5_L1.srt.dp.bam,01/07/2015,BAMAKO,CDC,INT,70,017-12,gambiae,4.3504,2175.2,11,A4,20,10.49796,-4.46115,7,2015,1
/export/projects/III-data/lamberton/tdd3v/anopheles_cnrfp/basicwgs/results/A4_12_EKDN220028873-1A_H5J72DSX5_L1/A4_12_EKDN220028873-1A_H5J72DSX5_L1.srt.dp.bam,55,A4_12,A4_12,/move_bioinfo/anopheles_cnrfp/bam/A4_12_EKDN220028873-1A_H5J72DSX5_L1.srt.dp.bam,09/07/2015,BOUNOUBA,CDC,INT,3,592-1,gambiae,4.128,2064,12,A4,39,10.26145,-4.36408,7,2015,0
