sample_id,Pop,sample number,collection year,sine PCR result,average picogreen value,failed after repeat,estimated total DNA,500,400,300,200,100,50
,Gbullung,57,2018,coluzzi,16.32,,1550,1,1,1,1,1,1
,Nanton,38,2016,coluzzi,16.38,,1556,1,1,1,1,1,1
,Gbullung,66,2020,coluzzi,16.96,,1611,1,1,1,1,1,1
,Dimabi,23,2014,coluzzi,17.14,,1629,1,1,1,1,1,1
,Tugu,56,2020,coluzzi,21.36,,2029,1,1,1,1,1,1
,Dimabi,20,2014,coluzzi,22.15,,2104,1,1,1,1,1,1
bun_38,Bunbuna,38,2020,coluzzi,54.62,,5189,1,1,1,1,1,1
bun_40,Bunbuna,40,2020,coluzzi,62.56,,5943,1,1,1,1,1,1
,Dimabi,8,2008,gambiae,0,,0,0,0,0,0,0,0
,Woribugu,6,2008,gambiae,0,,0,0,0,0,0,0,0
,Binduli,34,2018,gambiae,0.01,,1,0,0,0,0,0,0
,Woribugu,4,2008,gambiae,0.01,,0,0,0,0,0,0,0
,Gbullung,12,2008,gambiae,0.02,,2,0,0,0,0,0,0
,Binduli,25,2016,gambiae,0.03,,3,0,0,0,0,0,0
,Dimabi,55,2018,gambiae,0.03,,3,0,0,0,0,0,0
,Woribugu,12,2008,gambiae,0.03,,3,0,0,0,0,0,0
,Woribugu,50,2018,gambiae,0.04,,4,0,0,0,0,0,0
,Binduli,39,2018,gambiae,0.06,,5,0,0,0,0,0,0
,Binduli,41,2018,gambiae,0.06,,6,0,0,0,0,0,0
,Nanton,30,2014,gambiae,0.06,,6,0,0,0,0,0,0
,Dimabi,5,2008,gambiae,0.06,,5,0,0,0,0,0,0
,Dimabi,32,2016,gambiae,0.06,,5,0,0,0,0,0,0
,Woribugu,36,2016,gambiae,0.06,,6,0,0,0,0,0,0
,Woribugu,53,2018,gambiae,0.06,,5,0,0,0,0,0,0
,Tugu,11,2014,gambiae,0.06,,6,0,0,0,0,0,0
,Binduli,43,2018,gambiae,0.07,,7,0,0,0,0,0,0
,Dimabi,12,2008,gambiae,0.07,,7,0,0,0,0,0,0
,Binduli,42,2018,gambiae,0.08,,7,0,0,0,0,0,0
,Woribugu,43,2016,gambiae,0.08,,8,0,0,0,0,0,0
,Woribugu,47,2018,gambiae,0.08,,7,0,0,0,0,0,0
,Woribugu,60,2018,gambiae,0.08,,8,0,0,0,0,0,0
,Gbullung,3,2008,gambiae,0.09,,8,0,0,0,0,0,0
,Gbullung,4,2008,gambiae,0.09,,8,0,0,0,0,0,0
,Gbullung,8,2008,gambiae,0.1,,9,0,0,0,0,0,0
,Binduli,12,2008,gambiae,0.1,,9,0,0,0,0,0,0
,Tugu,20,2016,gambiae,0.1,,9,0,0,0,0,0,0
,Dimabi,3,2008,gambiae,0.11,,10,0,0,0,0,0,0
,Dimabi,43,2016,gambiae,0.11,,11,0,0,0,0,0,0
,Tugu,5,2014,gambiae,0.11,,10,0,0,0,0,0,0
,Binduli,24,2016,gambiae,0.12,,12,0,0,0,0,0,0
,Woribugu,26,2014,gambiae,0.12,,11,0,0,0,0,0,0
,Tugu,6,2014,gambiae,0.13,,13,0,0,0,0,0,0
,Binduli,38,2018,gambiae,0.14,,13,0,0,0,0,0,0
,Binduli,28,2016,gambiae,0.18,,17,0,0,0,0,0,0
,Tugu,12,2014,gambiae,0.19,,18,0,0,0,0,0,0
,Kulaa,13,2014,gambiae,0.2,,19,0,0,0,0,0,0
,Tugu,29,2016,gambiae,0.21,,20,0,0,0,0,0,0
,Tugu,15,2014,gambiae,0.22,1,21,0,0,0,0,0,0
,Binduli,23,2016,gambiae,0.23,,22,0,0,0,0,0,0
,Gbullung,2,2008,gambiae,0.25,,24,0,0,0,0,0,0
,Gbullung,15,2008,gambiae,0.26,,25,0,0,0,0,0,0
,Woribugu,52,2018,gambiae,0.28,,27,0,0,0,0,0,0
,Kulaa,5,2014,gambiae,0.3,,29,0,0,0,0,0,0
,Kulaa,8,2014,gambiae,0.31,,29,0,0,0,0,0,0
,Gbullung,37,2016,gambiae,0.34,,32,0,0,0,0,0,0
,Dimabi,31,2016,gambiae,0.35,,33,0,0,0,0,0,0
,Woribugu,40,2016,gambiae,0.36,,34,0,0,0,0,0,0
,Binduli,37,2018,gambiae,0.38,,36,0,0,0,0,0,0
,Dimabi,46,2018,gambiae,0.39,,37,0,0,0,0,0,0
,Woribugu,42,2016,gambiae,0.4,,38,0,0,0,0,0,0
,Dimabi,6,2008,gambiae,0.41,,39,0,0,0,0,0,0
bun_17,Bunbuna,17,2018,gambiae,0.42,,40,0,0,0,0,0,0
,Gbullung,24,2014,gambiae,0.42,,40,0,0,0,0,0,0
,Tarikpaa,11,2008,gambiae,0.42,,39,0,0,0,0,0,0
,Woribugu,44,2016,gambiae,0.42,,40,0,0,0,0,0,0
,Kulaa,6,2014,gambiae,0.44,,42,0,0,0,0,0,0
,Gbullung,1,2008,gambiae,0.45,,42,0,0,0,0,0,0
,Woribugu,54,2018,gambiae,0.47,,45,0,0,0,0,0,0
,Gbullung,34,2016,gambiae,0.51,,49,0,0,0,0,0,0
,Tugu,7,2014,gambiae,0.51,,49,0,0,0,0,0,0
,Dimabi,37,2016,gambiae,0.59,,56,0,0,0,0,0,1
,Dimabi,40,2016,gambiae,0.61,,58,0,0,0,0,0,1
,Kulaa,11,2014,gambiae,0.62,,59,0,0,0,0,0,1
,Dimabi,9,2008,gambiae,0.63,,60,0,0,0,0,0,1
,Tarikpaa,21,2016,gambiae,0.74,,70,0,0,0,0,0,1
,Binduli,40,2018,gambiae,0.75,,71,0,0,0,0,0,1
bun_24,Bunbuna,24,2018,gambiae,0.8,,76,0,0,0,0,0,1
,Tugu,8,2014,gambiae,0.81,,77,0,0,0,0,0,1
,Gbullung,7,2008,gambiae,0.82,,78,0,0,0,0,0,1
,Kulaa,7,2014,gambiae,0.82,,78,0,0,0,0,0,1
,Gbullung,23,2014,gambiae,0.83,,79,0,0,0,0,0,1
,Dimabi,34,2016,gambiae,0.87,,83,0,0,0,0,0,1
,Gbullung,10,2008,gambiae,0.9,,85,0,0,0,0,0,1
,Kulaa,10,2014,gambiae,0.93,,89,0,0,0,0,0,1
,Tarikpaa,20,2016,gambiae,1.01,,96,0,0,0,0,0,1
,Gbullung,41,2016,gambiae,1.06,,100,0,0,0,0,1,1
,Kulaa,9,2014,gambiae,1.06,,100,0,0,0,0,1,1
,Gbullung,26,2014,gambiae,1.09,,103,0,0,0,0,1,1
,Binduli,32,2018,gambiae,1.13,,107,0,0,0,0,1,1
,Woribugu,30,2014,gambiae,1.14,,108,0,0,0,0,1,1
,Binduli,15,2008,gambiae,1.16,,110,0,0,0,0,1,1
,Woribugu,23,2014,gambiae,1.22,,116,0,0,0,0,1,1
,Woribugu,16,2014,gambiae,1.29,,123,0,0,0,0,1,1
,Woribugu,28,2014,gambiae,1.37,,130,0,0,0,0,1,1
,Kulaa,4,2014,gambiae,1.37,,131,0,0,0,0,1,1
,Tarikpaa,7,2008,gambiae,1.45,,138,0,0,0,0,1,1
,Tarikpaa,29,2016,gambiae,1.54,,146,0,0,0,0,1,1
,Dimabi,33,2016,gambiae,1.55,,147,0,0,0,0,1,1
,Binduli,5,2008,gambiae,1.58,,150,0,0,0,0,1,1
,Gbullung,18,2014,gambiae,1.64,,156,0,0,0,0,1,1
,Tarikpaa,26,2016,gambiae,1.73,,164,0,0,0,0,1,1
,Binduli,1,2008,gambiae,1.74,,165,0,0,0,0,1,1
,Binduli,14,2008,gambiae,1.74,,165,0,0,0,0,1,1
,Woribugu,31,2016,gambiae,1.74,,165,0,0,0,0,1,1
,Binduli,4,2008,gambiae,1.77,,168,0,0,0,0,1,1
,Tarikpaa,10,2008,gambiae,1.85,,176,0,0,0,0,1,1
,Nanton,20,2014,gambiae,1.85,,176,0,0,0,0,1,1
,Gbullung,25,2014,gambiae,1.87,,178,0,0,0,0,1,1
,Gbullung,19,2014,gambiae,1.88,,179,0,0,0,0,1,1
,Tarikpaa,42,2018,gambiae,2.01,,191,0,0,0,0,1,1
,Nanton,23,2014,gambiae,2.04,,193,0,0,0,0,1,1
,Woribugu,19,2014,gambiae,2.05,,195,0,0,0,0,1,1
,Woribugu,38,2016,gambiae,2.08,,198,0,0,0,0,1,1
,Nanton,53,2018,gambiae,2.09,,199,0,0,0,0,1,1
,Woribugu,45,2016,gambiae,2.13,,202,0,0,0,1,1,1
,Kulaa,15,2014,gambiae,2.21,,210,0,0,0,1,1,1
bun_11,Bunbuna,11,2014,gambiae,2.28,,217,0,0,0,1,1,1
,Binduli,11,2008,gambiae,2.3,,218,0,0,0,1,1,1
,Gbullung,16,2014,gambiae,2.35,,223,0,0,0,1,1,1
,Gbullung,28,2014,gambiae,2.38,,226,0,0,0,1,1,1
,Woribugu,24,2014,gambiae,2.47,,234,0,0,0,1,1,1
bun_4,Bunbuna,4,2014,gambiae,2.54,,242,0,0,0,1,1,1
bun_26,Bunbuna,26,2018,gambiae,2.61,,248,0,0,0,1,1,1
bun_13,Bunbuna,13,2014,gambiae,2.65,,251,0,0,0,1,1,1
,Gbullung,35,2016,gambiae,2.72,,259,0,0,0,1,1,1
,Binduli,7,2008,gambiae,2.72,,258,0,0,0,1,1,1
,Gbullung,22,2014,gambiae,2.77,,263,0,0,0,1,1,1
,Nanton,17,2014,gambiae,2.78,,264,0,0,0,1,1,1
,Woribugu,48,2018,gambiae,2.79,,265,0,0,0,1,1,1
,Gbullung,20,2014,gambiae,2.84,,270,0,0,0,1,1,1
bun_2,Bunbuna,2,2014,gambiae,2.88,,273,0,0,0,1,1,1
bun_9,Bunbuna,9,2014,gambiae,2.94,,279,0,0,0,1,1,1
,Tarikpaa,36,2018,gambiae,2.97,,282,0,0,0,1,1,1
,Gbullung,45,2016,gambiae,2.98,,283,0,0,0,1,1,1
bun_22,Bunbuna,22,2018,gambiae,3.04,,289,0,0,0,1,1,1
,Woribugu,25,2014,gambiae,3.07,,292,0,0,0,1,1,1
,Tarikpaa,18,2016,gambiae,3.14,,298,0,0,0,1,1,1
,Gbullung,40,2016,gambiae,3.35,,318,0,0,1,1,1,1
bun_10,Bunbuna,10,2014,gambiae,3.38,,322,0,0,1,1,1,1
,Tarikpaa,1,2008,gambiae,3.4,,323,0,0,1,1,1,1
bun_5,Bunbuna,5,2014,gambiae,3.43,,325,0,0,1,1,1,1
bun_6,Bunbuna,6,2014,gambiae,3.44,,327,0,0,1,1,1,1
,Binduli,57,2020,gambiae,3.45,,328,0,0,1,1,1,1
,Binduli,6,2008,gambiae,3.47,,330,0,0,1,1,1,1
,Woribugu,29,2014,gambiae,3.47,,330,0,0,1,1,1,1
,Nanton,18,2014,gambiae,3.57,,339,0,0,1,1,1,1
,Nanton,47,2018,gambiae,3.6,,342,0,0,1,1,1,1
bun_25,Bunbuna,25,2018,gambiae,3.69,,350,0,0,1,1,1,1
bun_30,Bunbuna,30,2018,gambiae,3.72,,354,0,0,1,1,1,1
,Tarikpaa,17,2016,gambiae,3.83,,364,0,0,1,1,1,1
,Nanton,19,2014,gambiae,3.95,,375,0,0,1,1,1,1
,Tarikpaa,5,2008,gambiae,3.96,,376,0,0,1,1,1,1
bun_8,Bunbuna,8,2014,gambiae,3.98,,378,0,0,1,1,1,1
,Nanton,21,2014,gambiae,4.12,,392,0,0,1,1,1,1
,Woribugu,49,2018,gambiae,4.12,,391,0,0,1,1,1,1
,Nanton,24,2014,gambiae,4.28,,406,0,1,1,1,1,1
bun_3,Bunbuna,3,2014,gambiae,4.37,,415,0,1,1,1,1,1
,Kulaa,36,2018,gambiae,4.39,,417,0,1,1,1,1,1
,Tarikpaa,34,2018,gambiae,4.44,,422,0,1,1,1,1,1
,Binduli,3,2008,gambiae,4.45,,423,0,1,1,1,1,1
,Tugu,42,2018,gambiae,4.5,,428,0,1,1,1,1,1
,Binduli,8,2008,gambiae,4.76,,452,0,1,1,1,1,1
,Dimabi,25,2014,gambiae,4.83,,459,0,1,1,1,1,1
,Dimabi,42,2016,gambiae,4.84,,460,0,1,1,1,1,1
bun_1,Bunbuna,1,2014,gambiae,4.86,,462,0,1,1,1,1,1
,Tugu,14,2014,gambiae,4.88,,464,0,1,1,1,1,1
,Gbullung,50,2018,gambiae,4.93,,468,0,1,1,1,1,1
,Gbullung,44,2016,gambiae,4.94,,469,0,1,1,1,1,1
,Nanton,26,2014,gambiae,4.96,,471,0,1,1,1,1,1
,Binduli,13,2008,gambiae,4.97,,472,0,1,1,1,1,1
,Nanton,55,2018,gambiae,5.08,,482,0,1,1,1,1,1
,Dimabi,73,2020,gambiae,5.08,,483,0,1,1,1,1,1
bun_21,Bunbuna,21,2018,gambiae,5.22,,496,0,1,1,1,1,1
,Nanton,56,2018,gambiae,5.27,,501,1,1,1,1,1,1
,Gbullung,36,2016,gambiae,5.29,,503,1,1,1,1,1,1
,Gbullung,52,2018,gambiae,5.47,,520,1,1,1,1,1,1
,Dimabi,48,2018,gambiae,5.47,,520,1,1,1,1,1,1
bun_12,Bunbuna,12,2014,gambiae,5.49,,521,1,1,1,1,1,1
,Tarikpaa,2,2008,gambiae,5.6,,532,1,1,1,1,1,1
,Binduli,52,2020,gambiae,5.66,,537,1,1,1,1,1,1
,Tarikpaa,32,2018,gambiae,5.7,,542,1,1,1,1,1,1
,Binduli,10,2008,gambiae,5.84,,555,1,1,1,1,1,1
,Tarikpaa,27,2016,gambiae,5.85,,556,1,1,1,1,1,1
,Gbullung,32,2016,gambiae,5.86,,557,1,1,1,1,1,1
,Gbullung,33,2016,gambiae,5.89,,559,1,1,1,1,1,1
,Binduli,2,2008,gambiae,5.89,,560,1,1,1,1,1,1
,Tarikpaa,3,2008,gambiae,6.04,,573,1,1,1,1,1,1
,Nanton,16,2014,gambiae,6.06,,575,1,1,1,1,1,1
,Tarikpaa,31,2018,gambiae,6.4,,608,1,1,1,1,1,1
,Tarikpaa,33,2018,gambiae,6.49,,617,1,1,1,1,1,1
,Tarikpaa,44,2018,gambiae,6.54,,621,1,1,1,1,1,1
,Tarikpaa,16,2016,gambiae,6.79,,645,1,1,1,1,1,1
,Binduli,47,2020,gambiae,6.86,,652,1,1,1,1,1,1
,Nanton,25,2014,gambiae,6.89,,655,1,1,1,1,1,1
,Tarikpaa,37,2018,gambiae,7.06,,670,1,1,1,1,1,1
,Dimabi,19,2014,gambiae,7.12,,676,1,1,1,1,1,1
,Gbullung,59,2018,gambiae,7.15,,680,1,1,1,1,1,1
,Nanton,48,2018,gambiae,7.16,,680,1,1,1,1,1,1
,Gbullung,42,2016,gambiae,7.23,,687,1,1,1,1,1,1
bun_15,Bunbuna,15,2014,gambiae,7.39,,702,1,1,1,1,1,1
bun_14,Bunbuna,14,2014,gambiae,7.5,,713,1,1,1,1,1,1
bun_29,Bunbuna,29,2018,gambiae,7.51,,713,1,1,1,1,1,1
,Tugu,49,2020,gambiae,7.87,,747,1,1,1,1,1,1
,Gbullung,54,2018,gambiae,7.94,,754,1,1,1,1,1,1
bun_18,Bunbuna,18,2018,gambiae,7.99,,759,1,1,1,1,1,1
,Tarikpaa,23,2016,gambiae,8.08,,767,1,1,1,1,1,1
,Kulaa,28,2016,gambiae,8.23,,782,1,1,1,1,1,1
,Binduli,9,2008,gambiae,8.26,,785,1,1,1,1,1,1
,Tugu,47,2020,gambiae,8.26,,784,1,1,1,1,1,1
,Nanton,68,2020,gambiae,8.49,,806,1,1,1,1,1,1
bun_7,Bunbuna,7,2014,gambiae,8.59,,816,1,1,1,1,1,1
,Tarikpaa,43,2018,gambiae,8.66,,823,1,1,1,1,1,1
,Nanton,50,2018,gambiae,8.89,,844,1,1,1,1,1,1
,Tugu,27,2016,gambiae,9.1,,864,1,1,1,1,1,1
,Gbullung,58,2018,gambiae,9.14,,868,1,1,1,1,1,1
,Gbullung,55,2018,gambiae,9.29,,883,1,1,1,1,1,1
,Gbullung,51,2018,gambiae,9.32,,886,1,1,1,1,1,1
,Nanton,58,2018,gambiae,9.37,,891,1,1,1,1,1,1
,Tugu,50,2020,gambiae,9.86,,936,1,1,1,1,1,1
bun_23,Bunbuna,23,2018,gambiae,9.88,,938,1,1,1,1,1,1
,Binduli,56,2020,gambiae,9.9,,940,1,1,1,1,1,1
,Kulaa,30,2016,gambiae,10,,950,1,1,1,1,1,1
,Binduli,48,2020,gambiae,10.25,,974,1,1,1,1,1,1
,Kulaa,50,2020,gambiae,10.31,,979,1,1,1,1,1,1
,Dimabi,47,2018,gambiae,10.51,,999,1,1,1,1,1,1
,Nanton,49,2018,gambiae,10.58,,1005,1,1,1,1,1,1
,Gbullung,73,2020,gambiae,10.74,,1020,1,1,1,1,1,1
,Nanton,46,2018,gambiae,10.87,,1032,1,1,1,1,1,1
,Binduli,58,2020,gambiae,11.09,,1053,1,1,1,1,1,1
